año,Bovino,Caprino,Ovino,Porcino,Aviar
2006,3517,1590,1171,5886,6586953
2007,3527,1757,1360,5601,6665714
2008,3517,1784,1307,5886,6642745
2009,3517,1733,1171,5887,7061415
2010,3518,1584,1172,5888,6692464
2011,3518,1584,1172,5888,7063546
2012,3508,1589,1176,6173,7069537
2013,3520,1584,1172,5886,7064961
2014,3144,1510,1097,5960,7065667
2015,3389,1541,1185,5864,6943030
2016,3392,1599,1138,5587,6926920
2017,3067,1567,1250,5917,7082500
2018,3157,1475,1221,5400,6968876
2019,3323,1776,1255,5712,7820430
2020,2107,1741,1446,5891,8279171
